date,close,pivot,resistance,realized_vol_20d,median_vol_500d,vol_scale,state
2024-12-22 00:00:00,21460.9,,,,,,0
2024-12-23 00:00:00,21547.2,,,,,,0
2024-12-24 00:00:00,21856.6,,,,,,0
2024-12-25 00:00:00,21869.6,,,,,,0
2024-12-26 00:00:00,21818.8,,,,,,0
2024-12-27 00:00:00,21541.6,,,,,,0
2024-12-29 00:00:00,21523.0,,,,,,0
2024-12-30 00:00:00,21221.5,,,,,,0
2024-12-31 00:00:00,21068.2,,,,,,0
2025-01-01 00:00:00,21100.2,,,,,,0
2025-01-02 00:00:00,21000.4,,,,,,0
2025-01-03 00:00:00,21327.7,,,,,,0
2025-01-05 00:00:00,21362.9,,,,,,0
2025-01-06 00:00:00,21613.0,,,,,,0
2025-01-07 00:00:00,21238.0,,,,,,0
2025-01-08 00:00:00,21165.4,,,,,,0
2025-01-09 00:00:00,21087.6,,,,,,0
2025-01-10 00:00:00,20847.8,,,,,,0
2025-01-12 00:00:00,20856.3,,,,,,0
2025-01-13 00:00:00,20911.6,,,,,,0
2025-01-14 00:00:00,20815.3,,,0.0088426704820046,,,0
2025-01-15 00:00:00,21281.4,,,0.010282159728038,,,0
2025-01-16 00:00:00,21103.4,,,0.0097892735810888,,,0
2025-01-17 00:00:00,21456.2,,,0.0106175764334504,,,0
2025-01-19 00:00:00,21415.1,,,0.0106150946190401,,,0
2025-01-20 00:00:00,21602.0,,,0.0104388942861082,,,0
2025-01-21 00:00:00,21689.0,,,0.0104701180283974,,,0
2025-01-22 00:00:00,21844.6,,,0.0099925474560933,,,0
2025-01-23 00:00:00,21892.8,,,0.0097796951692027,,,0
2025-01-24 00:00:00,21792.6,,,0.0098887676659457,,,0
2025-01-26 00:00:00,21550.2,,,0.0102045526300524,,,0
2025-01-27 00:00:00,21215.4,,,0.010290784300646,,,0
2025-01-28 00:00:00,21433.6,,,0.0105509409391216,,,0
2025-01-29 00:00:00,21426.3,,,0.0101984960339847,,,0
2025-01-30 00:00:00,21586.6,,,0.0095127690931409,,,0
2025-01-31 00:00:00,21447.1,,,0.009608643180486,,,0
2025-02-02 00:00:00,21006.0,,,0.0106948855000169,,,0
2025-02-03 00:00:00,21462.5,,,0.0114032286255031,,,0
2025-02-04 00:00:00,21467.2,,,0.0114042717559464,,,0
2025-02-05 00:00:00,21677.6,,,0.0115531430363875,,,0
